R.A.,Dec.,Model-predicted confidence,Anomaly score,Flag
147.237788 ,33.043279 ,0.8819 ,0.1853 ,0
351.174469 ,-2.791721 ,0.8775 ,0.1289 ,0
19.768418 ,-0.138547 ,0.8717 ,0.3517 ,0
210.675864 ,9.164149 ,0.8687 ,0.4142 ,0
332.464216 ,7.429644 ,0.8680 ,0.4868 ,0
202.637660 ,-1.659615 ,0.8639 ,0.2724 ,0
190.066722 ,-7.682345 ,0.8622 ,0.2797 ,0
233.652950 ,43.039372 ,0.8608 ,0.3442 ,0
254.346956 ,38.671456 ,0.8605 ,1.4301 ,0
204.009414 ,8.186349 ,0.8603 ,0.3557 ,0
211.839267 ,55.491370 ,0.8592 ,0.1170 ,0
228.918833 ,8.217672 ,0.8583 ,0.2326 ,0
163.481680 ,63.018207 ,0.8579 ,0.0605 ,0
127.830460 ,25.534116 ,0.8574 ,0.1511 ,0
232.191888 ,25.364135 ,0.8573 ,0.3447 ,0
120.933273 ,7.258355 ,0.8573 ,0.1803 ,0
184.513758 ,-0.010475 ,0.8569 ,0.1137 ,0
144.083768 ,17.190467 ,0.8554 ,0.5526 ,0
206.314283 ,-0.527811 ,0.8553 ,0.2073 ,0
26.331556 ,6.929275 ,0.8553 ,0.2845 ,0
25.660373 ,12.613218 ,0.8553 ,0.1355 ,0
35.221171 ,-1.278080 ,0.8553 ,0.0766 ,0
176.536994 ,12.879634 ,0.8546 ,0.1178 ,0
340.201061 ,-1.153808 ,0.8545 ,0.2575 ,0
36.255524 ,-10.593023 ,0.8538 ,0.1424 ,0
72.973523 ,-5.948295 ,0.8535 ,0.6187 ,0
130.059256 ,5.633789 ,0.8529 ,0.9988 ,0
171.852786 ,-10.686384 ,0.8523 ,0.2146 ,0
23.966015 ,-9.946169 ,0.8521 ,0.2746 ,0
195.702044 ,50.028125 ,0.8521 ,0.0743 ,0
173.531717 ,36.683082 ,0.8520 ,0.3320 ,0
218.439275 ,44.082180 ,0.8519 ,0.1346 ,0
163.533885 ,37.521284 ,0.8514 ,0.2096 ,0
218.160720 ,48.191434 ,0.8514 ,0.1436 ,0
322.804875 ,3.280774 ,0.8509 ,0.2593 ,0
252.286122 ,31.561426 ,0.8509 ,0.0929 ,0
219.938712 ,23.396518 ,0.8504 ,0.3229 ,0
201.146275 ,57.052701 ,0.8500 ,0.1907 ,0
179.691083 ,41.392791 ,0.8497 ,0.5961 ,0
235.962550 ,45.066867 ,0.8496 ,0.1370 ,0
202.331988 ,43.681932 ,0.8495 ,0.1426 ,0
336.551874 ,38.997653 ,0.8494 ,0.7649 ,0
209.169330 ,20.171444 ,0.8492 ,0.4016 ,0
12.714878 ,0.851340 ,0.8490 ,0.1944 ,0
330.966939 ,20.584454 ,0.8488 ,0.2100 ,0
339.650183 ,25.142819 ,0.8488 ,0.0831 ,0
205.644201 ,4.528915 ,0.8488 ,0.2337 ,0
201.100486 ,7.631238 ,0.8485 ,0.0718 ,0
186.765571 ,-1.514382 ,0.8485 ,0.3611 ,0
214.340102 ,-1.301739 ,0.8482 ,0.0971 ,0
213.335057 ,1.912503 ,0.8482 ,0.1334 ,0
128.101062 ,43.102207 ,0.8479 ,1.6287 ,0
22.603612 ,42.238969 ,0.8478 ,0.2636 ,0
307.533146 ,-19.799127 ,0.8477 ,0.1528 ,0
141.512218 ,24.520881 ,0.8473 ,0.1568 ,0
115.178577 ,27.202807 ,0.8472 ,0.2744 ,0
223.181313 ,11.672219 ,0.8470 ,0.1521 ,0
234.064541 ,-0.349322 ,0.8464 ,0.0739 ,0
191.119962 ,28.433077 ,0.8463 ,0.1148 ,0
228.990411 ,46.790645 ,0.8463 ,0.1392 ,0
159.884247 ,2.187757 ,0.8460 ,0.1527 ,0
171.400781 ,37.946876 ,0.8460 ,0.2521 ,0
264.381331 ,25.044094 ,0.8460 ,0.2844 ,0
123.800200 ,24.389646 ,0.8459 ,0.4855 ,0
26.454380 ,15.231692 ,0.8459 ,0.1020 ,0
139.902949 ,61.250431 ,0.8457 ,0.0829 ,0
208.473567 ,63.443617 ,0.8457 ,0.1022 ,0
159.739669 ,7.932747 ,0.8456 ,0.2008 ,0
139.420441 ,46.648869 ,0.8455 ,0.1073 ,0
234.222763 ,51.288626 ,0.8455 ,0.2337 ,0
36.751667 ,-2.694962 ,0.8454 ,0.2328 ,0
253.989444 ,41.619536 ,0.8448 ,0.0684 ,0
234.285928 ,20.146581 ,0.8448 ,0.2027 ,0
174.649375 ,62.970654 ,0.8446 ,0.2213 ,0
224.110216 ,2.347521 ,0.8444 ,0.2129 ,0
358.296929 ,26.664023 ,0.8443 ,0.1565 ,0
200.258171 ,33.064247 ,0.8443 ,0.1009 ,0
35.626542 ,-0.615457 ,0.8438 ,3.4361 ,0
219.915980 ,36.174673 ,0.8437 ,0.1192 ,0
173.275625 ,1.490362 ,0.8434 ,0.0824 ,0
7.139532 ,-1.180328 ,0.8433 ,0.0788 ,0
155.819193 ,9.225119 ,0.8433 ,0.1446 ,0
28.173669 ,-3.423953 ,0.8431 ,0.2094 ,0
198.036023 ,2.989247 ,0.8431 ,0.3991 ,0
270.311228 ,42.364616 ,0.8429 ,0.2607 ,0
28.764996 ,0.012573 ,0.8429 ,0.0677 ,0
151.530170 ,42.892073 ,0.8428 ,0.0988 ,0
120.049708 ,55.596206 ,0.8428 ,0.0822 ,0
188.089965 ,-22.938420 ,0.8427 ,0.1229 ,0
228.918833 ,8.217672 ,0.8425 ,0.0834 ,0
349.833825 ,29.973417 ,0.8422 ,0.3324 ,0
39.288939 ,20.926805 ,0.8422 ,0.0657 ,0
264.512745 ,49.617290 ,0.8417 ,0.0543 ,0
163.467785 ,21.763774 ,0.8417 ,0.0833 ,0
246.349784 ,43.766601 ,0.8415 ,0.1245 ,0
201.198408 ,58.488827 ,0.8412 ,0.2330 ,0
237.509017 ,7.875362 ,0.8410 ,0.0471 ,0
245.688198 ,38.752805 ,0.8409 ,0.0626 ,0
240.522388 ,18.648660 ,0.8408 ,0.0915 ,0
19.388357 ,-4.493891 ,0.8407 ,0.0713 ,0
0.155818 ,33.601449 ,0.8407 ,0.3265 ,0
229.157757 ,-0.024511 ,0.8406 ,0.2969 ,0
184.077645 ,-1.068967 ,0.8404 ,0.2597 ,0
232.562243 ,42.602448 ,0.8403 ,1.8551 ,0
268.592172 ,54.907596 ,0.8402 ,0.1639 ,0
22.553464 ,11.841612 ,0.8401 ,0.0990 ,0
359.818233 ,31.280778 ,0.8400 ,0.4065 ,0
179.597149 ,44.230688 ,0.8399 ,0.2139 ,0
131.695697 ,13.164011 ,0.8398 ,0.1913 ,0
354.073556 ,49.622491 ,0.8398 ,0.3704 ,0
159.124002 ,33.419459 ,0.8397 ,0.0717 ,0
43.058629 ,1.812026 ,0.8395 ,0.0911 ,0
203.139311 ,33.738435 ,0.8395 ,0.1433 ,0
136.110462 ,36.527959 ,0.8395 ,0.1043 ,0
140.914316 ,40.154603 ,0.8395 ,0.1159 ,0
176.058413 ,27.235787 ,0.8393 ,0.1470 ,0
1.659521 ,17.284687 ,0.8392 ,0.1912 ,0
215.992478 ,-1.128417 ,0.8390 ,0.1231 ,0
188.706035 ,38.892291 ,0.8390 ,0.1401 ,0
220.539293 ,55.568369 ,0.8389 ,0.2596 ,0
5.505726 ,-16.364770 ,0.8389 ,0.1502 ,0
169.887250 ,35.609824 ,0.8388 ,0.0825 ,0
246.430152 ,49.204722 ,0.8388 ,0.0860 ,0
27.838347 ,-2.346878 ,0.8388 ,0.0821 ,0
30.016216 ,14.120005 ,0.8385 ,0.0640 ,0
28.670583 ,15.153810 ,0.8385 ,0.0879 ,0
202.010803 ,9.125016 ,0.8385 ,0.1037 ,0
197.677870 ,21.367110 ,0.8385 ,0.2133 ,0
211.766751 ,10.642933 ,0.8385 ,0.3938 ,0
147.117387 ,31.287265 ,0.8384 ,0.0499 ,0
185.191550 ,11.894650 ,0.8383 ,0.2985 ,0
214.851022 ,45.958398 ,0.8382 ,0.1483 ,0
44.035538 ,27.700703 ,0.8380 ,0.2955 ,0
209.815465 ,41.726584 ,0.8380 ,0.0885 ,0
23.774436 ,14.003314 ,0.8380 ,0.1960 ,0
